Word,POS
<START>,
ಭೇಸಿ,noun
ಕಿಚಡೆಮಾಯಿ,noun
ರಮ್ಮರಿಚ,verb
<END>,
<START>,
ಬಳದ,noun
ಆನ,verb
ಗಾಡಿನ,noun
ಮಾರ್ದಿನೋಚ,verb
<END>,
<START>,
ಶಿಳ್ಖಳ,adjective
ವಾಳ,noun
ಮಾರೀಚ,verb
<END>,
<START>,
ಮರಮೇಲಿ,verb
ಜಕೋಣ,conjunction
ಜಾನ್ವರ್,noun
ನಂದಿಮಾಯಿ,noun
ತರಿಚ,verb
<END>,
<START>,
ಅಂಗೋಳೋ,noun
ಆರೋಚ್,verb
<END>,
<START>,
ಜಂಗಲೇಮಾಯಿ,noun
ಅಂಗಾರ,noun
ಲಗ್ಗೋಚ,verb
<END>,
<START>,
ಕಾಲ್,adverb
ರಾತ್,noun
ಏಕ,adjective
ಛೋರಿನ,noun
ಮಾರ್ನಾಕೇಚ,verb
<END>,
<START>,
ಏಕ,pronoun
ಲಾಂಬ,adjective
ವಾಸಳಿ,noun
ರ,verb
ಲಕಡಿ,noun
ಪಡಿಚ,verb
<END>,
<START>,
ಅಪಘಾತೆಮ,noun
ಘಣೋ,adjective
ಲೋಯಿ,noun
ದರಗೋಚ,verb
<END>,
<START>,
ಘಣೋ,adjective
ಖಾಣೋ,noun
ಹಾಳ,verb
ವೇಗೋಚ,verb
<END>,
<START>,
ಏಕ,pronoun
ಮಾಣಸ,noun
ಅಂಗಾರ,noun
ಲಗಾಡೇನ್,verb
ಲಕಡಿ,noun
ಗೋಳಾ,verb
ಕರರೋತೋ,verb
<END>,
<START>,
ಕಾಚಮೋ,noun
ಘಣ,adjective
ವರ್ಷೇಲಗಾ,noun
ಬಚಚ,verb
<END>,
<START>,
ರೈಲ್,noun
ಗಾಡಿ,noun
ನ,adverb
ಡಿಕ್ಕಿ,verb
ಮಾರ್ದಿನೀಚ,verb
<END>,
<START>,
ಗಾಮೇತಿ,noun
ಆನ್,verb
ಮ,pronoun
ಸೋಗೋ,verb
<END>,
<START>,
ಅಜಿತ,noun
ಜಂಗಲೇಮಾಯೀ,noun
ಹಿಂಡೇನ,verb
ಪಸಂದ,verb
ಕರಚ,verb
<END>,
<START>,
ಅಜಿತ,noun
ಭಾಂಬೆತಿ,noun
ಮರಗೋಚ,verb
<END>,
<START>,
ಸೆ,pronoun
ಹಕ್ಕಿಯೋ,noun
ವೋನುರ್,pronoun
ಪಿಲ್ಪಿಲಾನ್,noun
ವೋಜ,pronoun
ಖಾಣೋ,noun
ಖರಾವಚ,verb
<END>,
<START>,
ಅಂಗೋಳೊಮಾಯಿ,noun
ಸೇಜ,pronoun
ಬೆಳಿ,noun
ನಾಸ್,verb
ವೇಗಿಚ,verb
<END>,
<START>,
ಸೆ,pronoun
ನಾಣಕ್ಯ,adjective
ಬೆಟಬೇಟಾವೊ,noun
ಮೀಟೋನ,noun
ಪಸಂದ್,verb
ಕರಚ,verb
<END>,
<START>,
ಮಾರ್,pronoun
ಸೆ,pronoun
ಲತಾಕೌಡಾ,noun
ಪಾಣಿಮಾಯಿ,noun
ಭಿನ್ಜಾಗೇಚ,verb
<END>,
<START>,
ಮಾರ,pronoun
ಸೆ,pronoun
ಸೆಮಾನ,noun
ಅಂಗಾರೆಮಾಯಿ,noun
