Sentence,POS Tags
ಭೇಸಿ ಕಿಚಡೆಮಾಯಿ ರಮ್ಮರಿಚ,noun noun verb
ಬಳದ ಆನ ಗಾಡಿನ ಮಾರ್ದಿನೋಚ,noun verb noun verb
ಶಿಳ್ಖಳ ವಾಳ ಮಾರೀಚ,adjective noun verb
ಮರಮೇಲಿ ಜಕೋಣ ಜಾನ್ವರ್ ನಂದಿಮಾಯಿ ತರಿಚ,verb conjunction noun noun verb
ಅಂಗೋಳೋ ಆರೋಚ್,noun verb
ಜಂಗಲೇಮಾಯಿ ಅಂಗಾರ ಲಗ್ಗೋಚ,noun noun verb
ಕಾಲ್ ರಾತ್ ಏಕ ಛೋರಿನ ಮಾರ್ನಾಕೇಚ,adverb noun adjective noun verb
ಏಕ ಲಾಂಬ ವಾಸಳಿ ರ ಲಕಡಿ ಪಡಿಚ,pronoun adjective noun verb noun verb
ಅಪಘಾತೆಮ ಘಣೋ ಲೋಯಿ ದರಗೋಚ,noun adjective noun verb
ಘಣೋ ಖಾಣೋ ಹಾಳ ವೇಗೋಚ,adjective noun verb verb
ಏಕ ಮಾಣಸ ಅಂಗಾರ ಲಗಾಡೇನ್ ಲಕಡಿ ಗೋಳಾ ಕರರೋತೋ,pronoun noun noun verb noun verb verb
ಕಾಚಮೋ ಘಣ ವರ್ಷೇಲಗಾ ಬಚಚ,noun adjective noun verb
ರೈಲ್ ಗಾಡಿ ನ ಡಿಕ್ಕಿ ಮಾರ್ದಿನೀಚ,noun noun adverb verb verb
ಗಾಮೇತಿ ಆನ್ ಮ ಸೋಗೋ,noun verb pronoun verb
ಅಜಿತ ಜಂಗಲೇಮಾಯೀ ಹಿಂಡೇನ ಪಸಂದ ಕರಚ,noun noun verb verb verb
ಅಜಿತ ಭಾಂಬೆತಿ ಮರಗೋಚ,noun noun verb
ಸೆ ಹಕ್ಕಿಯೋ ವೋನುರ್ ಪಿಲ್ಪಿಲಾನ್ ವೋಜ ಖಾಣೋ ಖರಾವಚ,pronoun noun pronoun noun pronoun noun verb
ಅಂಗೋಳೊಮಾಯಿ ಸೇಜ ಬೆಳಿ ನಾಸ್ ವೇಗಿಚ,noun pronoun noun verb verb
ಸೆ ನಾಣಕ್ಯ ಬೆಟಬೇಟಾವೊ ಮೀಟೋನ ಪಸಂದ್ ಕರಚ,pronoun adjective noun noun verb verb
ಮಾರ್ ಸೆ ಲತಾಕೌಡಾ ಪಾಣಿಮಾಯಿ ಭಿನ್ಜಾಗೇಚ,pronoun pronoun noun noun verb
ಮಾರ ಸೆ ಸೆಮಾನ ಅಂಗಾರೆಮಾಯಿ ಬಳಗೇಚ,pronoun pronoun noun noun verb
ಸೆ ಜರೂರಿ ಪೇಪರ್ ಅಂಗಾರೆಮ್ ಬಳಗೇಚ,pronoun verb noun noun verb
ಸೇಜ ಪಾನ ಝಡಗೇಚ,pronoun noun verb
ಸಿಲಾಗಜನಾ ಮನ್ ಭಾರ್ ಆಯೆರ ವೆನಿ,verb pronoun preposition verb verb
ಮನ ಸಿಲಾಗರೋಚ ಜೆರಸಾರು ಲಕ್ಕೇನ ವೆರಿಕೊಂತಿ,pronoun verb preposition verb verb
ವು ಹೋಟೊ ಆಯೋಜನಾ ವೋರ ಯಾಡಿ ಬಚಿ,pronoun verb verb pronoun noun verb
